model_name,model_slug,label,matched_clean_n,matched_clean_accuracy,real_n,real_accuracy,accuracy_drop_vs_matched_clean
CLIP ViT-B/16,clip_vit_b16,dymo_label_maker,3,0.6666666666666666,18,0.5555555555555556,0.11111111111111105
CLIP ViT-B/16,clip_vit_b16,calcium_bottle,3,0.6666666666666666,18,0.6666666666666666,0.0
CLIP ViT-B/16,clip_vit_b16,canon_camera,3,0.6666666666666666,18,0.6666666666666666,0.0
CLIP ViT-B/16,clip_vit_b16,hair_brush,3,0.6666666666666666,18,0.6666666666666666,0.0
CLIP ViT-B/16,clip_vit_b16,lg_cell_phone,3,1.0,18,0.9444444444444444,0.05555555555555558
CLIP ViT-B/16,clip_vit_b16,baseball,3,1.0,18,1.0,0.0
CLIP ViT-B/16,clip_vit_b16,pan,3,1.0,18,1.0,0.0
CLIP ViT-B/16,clip_vit_b16,shoes,3,1.0,18,1.0,0.0
CLIP ViT-B/16,clip_vit_b16,toy,3,1.0,18,1.0,0.0
CLIP ViT-B/16,clip_vit_b16,training_marker_cone,3,1.0,18,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,canon_camera,3,0.0,18,0.2222222222222222,-0.2222222222222222
CLIP ViT-B/32,clip_vit_b32,dymo_label_maker,3,0.3333333333333333,18,0.3333333333333333,0.0
CLIP ViT-B/32,clip_vit_b32,hair_brush,3,0.3333333333333333,18,0.3333333333333333,0.0
CLIP ViT-B/32,clip_vit_b32,lg_cell_phone,3,0.6666666666666666,18,0.6111111111111112,0.05555555555555547
CLIP ViT-B/32,clip_vit_b32,calcium_bottle,3,0.6666666666666666,18,0.6666666666666666,0.0
CLIP ViT-B/32,clip_vit_b32,baseball,3,1.0,18,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,pan,3,1.0,18,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,shoes,3,1.0,18,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,toy,3,1.0,18,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,training_marker_cone,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,dymo_label_maker,3,0.3333333333333333,18,0.3333333333333333,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,hair_brush,3,0.6666666666666666,18,0.5555555555555556,0.11111111111111105
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,calcium_bottle,3,0.6666666666666666,18,0.6666666666666666,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,lg_cell_phone,3,0.6666666666666666,18,0.6666666666666666,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,canon_camera,3,0.6666666666666666,18,0.7777777777777778,-0.11111111111111116
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,baseball,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,pan,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,shoes,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,toy,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/32 LAION-2B,openclip_vit_b32_laion2b,training_marker_cone,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,canon_camera,3,0.3333333333333333,18,0.3333333333333333,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,hair_brush,3,1.0,18,0.6666666666666666,0.33333333333333337
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,calcium_bottle,3,0.6666666666666666,18,0.6666666666666666,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,dymo_label_maker,3,1.0,18,0.9444444444444444,0.05555555555555558
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,baseball,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,lg_cell_phone,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,pan,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,shoes,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,toy,3,1.0,18,1.0,0.0
OpenCLIP ViT-B/16 DataComp-XL,openclip_vit_b16_datacomp_xl,training_marker_cone,3,1.0,18,1.0,0.0
