slug,model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
smolvlm2_2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
llava_onevision_qwen2_0_5b,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_0_5b,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_0_5b,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
internvl3_1b,OpenGVLab/InternVL3-1B-hf,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
internvl3_1b,OpenGVLab/InternVL3-1B-hf,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
internvl3_1b,OpenGVLab/InternVL3-1B-hf,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,-0.5,0.0,0.0
