model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,baseball,3,0.000000,18,0.055556,0.000000,-0.055556
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,training_marker_cone,3,0.000000,18,0.055556,0.000000,-0.055556
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,toy,3,0.333333,18,0.277778,0.000000,0.055556
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,canon_camera,3,0.666667,18,0.500000,0.000000,0.166667
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,dymo_label_maker,3,0.666667,18,0.555556,0.000000,0.111111
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,lg_cell_phone,3,1.000000,18,0.555556,0.000000,0.444444
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,calcium_bottle,3,0.666667,18,0.666667,0.000000,0.000000
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,hair_brush,3,0.666667,18,0.888889,0.000000,-0.222222
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,pan,3,1.000000,18,1.000000,0.000000,0.000000
HuggingFaceTB/SmolVLM2-500M-Video-Instruct,huggingface,,shoes,3,1.000000,18,1.000000,0.000000,0.000000
