recipe,challenge_type,display_name,severity,model_count,mean_accuracy,median_accuracy,min_accuracy,max_accuracy,accuracy_std,mean_confidence,mean_rank_most_damaging,median_rank_most_damaging,rank_std,top3_count,top5_count,floor_count,near_floor_count,floor_models,near_floor_models
native_challenge_type_18,18,Grayscale salt & pepper noise,level_5,8,0.00925,0.01,0.008,0.01,0.0009682458365518542,0.23752687257202343,1.75,1.75,0.6614378277661477,8,8,8,8,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype
native_challenge_type_09,09,Salt & pepper noise,level_5,8,0.01025,0.01,0.006,0.014,0.002537222891273055,0.12460243479022756,2.4375,2.5,1.1575161985907585,6,8,8,8,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype
native_challenge_type_14,14,Grayscale gaussian blur,level_5,8,0.0115,0.01,0.01,0.016,0.0021794494717703367,0.14246867039217614,2.5625,2.5,0.3903123748998999,8,8,8,8,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype
native_challenge_type_05,05,Gaussian blur,level_5,8,0.015,0.014,0.01,0.028,0.0058309518948453,0.1309596137162298,3.625,3.75,0.8569568250501305,3,8,7,8,OpenCLIP ViT-B/32 LAION2B; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; ConvNeXt-Tiny Prototype; DINOv2 ViT-S/14 Prototype
native_challenge_type_16,16,Grayscale dirty lens 1,level_5,8,0.025500000000000002,0.018000000000000002,0.012,0.056,0.016393596310755,0.17555106081836858,4.625,5.0,0.6959705453537527,1,8,5,7,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype,OpenCLIP ViT-B/32 LAION2B; OpenCLIP ViT-B/16 DataComp XL; CLIP ViT-B/16; CLIP ViT-B/32; HGNetV2-B0 Prototype; MobileNetV3-Small Prototype; DINOv2 ViT-S/14 Prototype
native_challenge_type_07,07,Dirty lens 1,level_5,8,0.08875,0.07500000000000001,0.048,0.192,0.045890494658480205,0.22284971823054367,6.75,6.5,0.82915619758885,0,0,0,2,,OpenCLIP ViT-B/32 LAION2B; CLIP ViT-B/32
native_challenge_type_17,17,Grayscale dirty lens 2,level_5,8,0.113,0.076,0.048,0.27,0.07411477585475112,0.1845012562656775,7.0,7.0,0.8660254037844386,0,0,0,1,,CLIP ViT-B/32
native_challenge_type_13,13,Grayscale overexposure,level_5,8,0.11275,0.08299999999999999,0.066,0.24,0.060323606490328474,0.22517642526724377,7.25,7.0,0.6614378277661477,0,0,0,0,,
native_challenge_type_04,04,Overexposure,level_5,8,0.19575,0.155,0.114,0.354,0.0837164111748706,0.19988623911957257,10.125,10.0,0.9270248108869579,0,0,0,0,,
native_challenge_type_12,12,Grayscale underexposure,level_5,8,0.248,0.138,0.09,0.636,0.18041064270158788,0.21033135288278573,10.5,10.0,1.5811388300841898,0,0,0,0,,
native_challenge_type_15,15,Grayscale contrast,level_5,8,0.238,0.196,0.122,0.508,0.1252677133183168,0.22870859920582734,10.75,11.0,1.0897247358851685,0,0,0,0,,
native_challenge_type_08,08,Dirty lens 2,level_5,8,0.22875,0.19,0.124,0.4,0.09629609285947172,0.1930595769858919,11.125,11.5,1.2686114456365274,0,0,0,0,,
native_challenge_type_03,03,Underexposure,level_5,8,0.3175,0.20700000000000002,0.166,0.676,0.18142422660714308,0.2140708739112597,13.0,13.0,1.0,0,0,0,0,,
native_challenge_type_06,06,Contrast,level_5,8,0.3565,0.32799999999999996,0.19,0.61,0.12421251949783484,0.23934316388773733,13.5,14.0,0.7071067811865476,0,0,0,0,,
