family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
clean,clean,clean,500,0.624,0.01340457166172564,0.0,full_cure_or_leave_clean_condition_out_prototype
control_cure_or,grayscale_no_challenge,control,499,0.44288577154308617,0.013009900001357337,0.18111422845691383,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_1,500,0.614,0.013387498496100306,0.010000000000000009,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_2,500,0.606,0.013387235965579749,0.018000000000000016,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_3,500,0.594,0.013349383860826493,0.030000000000000027,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_4,500,0.582,0.01327581712976098,0.04200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_1,500,0.55,0.013296923669055103,0.07399999999999995,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_2,500,0.524,0.013249954473227262,0.09999999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_3,500,0.466,0.01318949158117175,0.15799999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_4,500,0.354,0.013121135542169213,0.27,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_5,500,0.186,0.013104728665202856,0.438,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_1,500,0.578,0.013299754390493036,0.04600000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_2,500,0.404,0.012820185504853726,0.21999999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_3,500,0.292,0.012562071522697806,0.332,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_4,500,0.196,0.012404788091778755,0.428,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_5,500,0.152,0.012360324082896114,0.472,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_1,500,0.128,0.012474369008094073,0.496,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_2,500,0.016,0.013069149952381849,0.608,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_3,500,0.01,0.013354839313775301,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_4,500,0.01,0.013434454005211592,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_5,500,0.01,0.013485313763841987,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_1,500,0.542,0.013166961140930652,0.08199999999999996,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_2,500,0.472,0.013023759797215461,0.15200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_3,500,0.442,0.012914654290303588,0.182,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_4,500,0.414,0.012821553859859705,0.21000000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_5,500,0.394,0.012753992334008217,0.22999999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_1,500,0.482,0.012438648568466305,0.14200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_2,500,0.39,0.012002498358488083,0.23399999999999999,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_3,500,0.246,0.011685363229364157,0.378,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_4,500,0.126,0.011537697000429035,0.498,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_5,500,0.054,0.011435845138505102,0.57,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_1,500,0.498,0.012536670926958322,0.126,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_2,500,0.416,0.012288518365472555,0.20800000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_3,500,0.374,0.01213318801485002,0.25,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_4,500,0.306,0.011999050190672279,0.318,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_5,500,0.248,0.011837964531034232,0.376,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_1,500,0.274,0.012558844612911343,0.35,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_2,500,0.156,0.012457161145284772,0.46799999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_3,500,0.052,0.012552250016480684,0.572,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_4,500,0.01,0.013154917011037468,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_5,500,0.01,0.013421479808166624,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_1,500,0.444,0.012999210216104983,0.18,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_2,500,0.436,0.01299446964636445,0.188,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_3,500,0.424,0.012978304728865624,0.2,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_4,500,0.406,0.012929800236597656,0.21799999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_1,499,0.38276553106212424,0.013005399957060336,0.24123446893787576,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_2,500,0.354,0.013001469142735004,0.27,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_3,500,0.32,0.012999932846054435,0.304,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_4,500,0.254,0.013013185562565923,0.37,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_5,500,0.144,0.013076341273263096,0.48,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_1,500,0.398,0.012918721018359065,0.22599999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_2,500,0.256,0.0126902767829597,0.368,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_3,500,0.184,0.012557013085111975,0.44,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_4,500,0.136,0.012535884857177734,0.488,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_5,500,0.092,0.012492598541080951,0.532,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_1,500,0.06,0.012560457060113548,0.5640000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_2,500,0.01,0.013361818592995406,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_3,500,0.01,0.013483474740758538,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_4,500,0.01,0.013517483768984675,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_5,500,0.01,0.013543634157627821,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_1,500,0.386,0.012764205187559129,0.238,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_2,500,0.328,0.012689354721456766,0.296,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_3,500,0.31,0.01260838702134788,0.314,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_4,500,0.286,0.012546757977455854,0.338,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_5,500,0.264,0.012480624930933118,0.36,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_1,500,0.308,0.01223621348105371,0.316,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_2,500,0.184,0.011926600769162177,0.44,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_3,500,0.082,0.01177450016885996,0.542,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_4,500,0.03,0.01168014749698341,0.594,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_5,500,0.012,0.011770219197496773,0.612,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_1,500,0.288,0.012265070671215654,0.336,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_2,500,0.21,0.012087412444874645,0.41400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_3,500,0.19,0.012045401291921734,0.434,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_4,500,0.142,0.0120051393173635,0.482,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_5,500,0.12,0.011890240643173457,0.504,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_1,500,0.136,0.012164354111999273,0.488,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_2,500,0.048,0.012160237906500697,0.576,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_3,500,0.012,0.012464411107823252,0.612,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.013013590754941106,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_5,500,0.01,0.013042702246457339,0.614,full_cure_or_leave_clean_condition_out_prototype
